# Blueprint node	Section heading	Lean declaration	Include definition body (yes/no)
# Names are curated, exported by Lean, and checked; not inferred from title text.
lem:c3-concavity	Derivative data and consequences	ComputableAnalysis.GeometricSineConcavity.sineDerivative_equiv_pi_cosine	no
thm:c3-ftc	Hypotheses	ComputableAnalysis.ConcaveFTC.SecantBounds	yes
thm:c3-ftc	Hypotheses	ComputableAnalysis.ConcaveFTC.DerivativeData	no
thm:c3-ftc	Finite estimates	ComputableAnalysis.ConcaveFTC.local_residual_bound	no
thm:c3-ftc	Finite estimates	ComputableAnalysis.ConcaveFTC.finite_riemann_overlaps	no
thm:c3-ftc	Integral conclusions	ComputableAnalysis.ConcaveFTC.integral_valid	no
thm:c3-ftc	Integral conclusions	ComputableAnalysis.ConcaveFTC.integral_equiv_endpoint	no
def:c3-real	Representation and interpretation	MathlibComparison.Represents	yes
def:c3-real	Representation and interpretation	MathlibComparison.denote	yes
def:c3-real	Existence and exact correspondence	MathlibComparison.existsUnique_represents	no
def:c3-real	Existence and exact correspondence	MathlibComparison.equiv_iff_denote_eq	no
def:c3-real	Existence and exact correspondence	MathlibComparison.le_iff_denote_le	no
def:c3-real	Transport back to native intervals	MathlibComparison.represents_of_equiv	no
def:c3-real	Transport back to native intervals	MathlibComparison.equiv_of_represents	no
def:c3-mexp	Complex definitions	Complex.exp	no
def:c3-mexp	Complex definitions	Complex.sin	yes
def:c3-mexp	Complex definitions	Complex.cos	yes
def:c3-mexp	Real trigonometric functions	Real.sin	yes
def:c3-mexp	Real trigonometric functions	Real.cos	yes
def:c3-mexp	Derivative theorems	Real.hasDerivAt_sin	no
def:c3-mexp	Derivative theorems	Real.hasDerivAt_cos	no
def:c3-mpi	Definition and defining property	Real.pi	yes
def:c3-mpi	Definition and defining property	Real.cos_pi_div_two	no
def:c3-mpi	Bounds and arctangent identification	Real.pi_pos	no
def:c3-mpi	Bounds and arctangent identification	Real.pi_le_four	no
def:c3-mpi	Bounds and arctangent identification	Real.arctan_one	no
lem:c3-values	Arctangent and pi bridges	MathlibComparison.arctan_rectangle_represents	no
lem:c3-values	Arctangent and pi bridges	MathlibComparison.arctan_geom_represents	no
lem:c3-values	Arctangent and pi bridges	MathlibComparison.four_arctan_one_represents	no
lem:c3-values	Arctangent and pi bridges	MathlibComparison.piCircleArea_represents	no
lem:c3-values	Arctangent and pi bridges	MathlibComparison.reciprocalPi_represents	no
lem:c3-values	Inverse parameter and trigonometric bridges	MathlibComparison.slope_arctan	no
lem:c3-values	Inverse parameter and trigonometric bridges	MathlibComparison.sine_represents	no
lem:c3-values	Inverse parameter and trigonometric bridges	MathlibComparison.cosine_represents	no
lem:c3-quadrature	Comparison integrand and local estimate	MathlibComparison.normalizedCosine	yes
lem:c3-quadrature	Comparison integrand and local estimate	MathlibComparison.normalizedCosine_lipschitz	no
lem:c3-quadrature	Comparison integrand and local estimate	MathlibComparison.cosine_cell_error	no
lem:c3-quadrature	Finite sums and error bounds	MathlibComparison.fixedMesh_represents	no
lem:c3-quadrature	Finite sums and error bounds	MathlibComparison.rectangle_error	no
lem:c3-quadrature	Finite sums and error bounds	MathlibComparison.fixedMesh_contains_integral	no
lem:c3-quadrature	Complete quadrature correspondence	MathlibComparison.cosine_integral_represents	no
lem:c3-mftc	Mathlib integration theorems	integral_cos	no
lem:c3-mftc	Mathlib integration theorems	intervalIntegral.mul_integral_comp_mul_left	no
lem:c3-mftc	Normalized primitive formula	MathlibComparison.mathlib_cosine_primitive	no
thm:c3-primitive	One common proposition	ComputableAnalysis.CosinePrimitive.Statement	yes
thm:c3-primitive	Three alternative proofs	ComputableAnalysis.CosinePrimitive.viaInequalities	no
thm:c3-primitive	Three alternative proofs	ComputableAnalysis.CosinePrimitive.viaFTC	no
thm:c3-primitive	Three alternative proofs	ComputableAnalysis.CosinePrimitive.viaMathlib	no
thm:c3-primitive	Validity, independently by each route	ComputableAnalysis.CosinePrimitive.integral_valid_viaInequalities	no
thm:c3-primitive	Validity, independently by each route	ComputableAnalysis.CosinePrimitive.integral_valid_viaFTC	no
thm:c3-primitive	Validity, independently by each route	ComputableAnalysis.CosinePrimitive.integral_valid_viaMathlib	no
lem:c3-native-exp	Finite series and tail bounds	ComputableAnalysis.RotationSeries.complexPrefix	yes
lem:c3-native-exp	Finite series and tail bounds	ComputableAnalysis.RotationSeries.rotationTailRadius	yes
lem:c3-native-exp	Finite series and tail bounds	ComputableAnalysis.RotationSeries.rotationExpRate	yes
lem:c3-native-exp	Computable exponential and validity	ComputableAnalysis.RotationSeries.rotationExpRaw	yes
lem:c3-native-exp	Computable exponential and validity	ComputableAnalysis.RotationSeries.rotationExpRaw_valid	no
def:c3-rationals	Rational numbers and coordinates	Rat	no
def:c3-rationals	Rational numbers and coordinates	Rat.num	no
def:c3-rationals	Rational numbers and coordinates	Rat.den	no
def:c3-rationals	Exact rational arithmetic	Rat.normalize	no
def:c3-rationals	Exact rational arithmetic	Rat.add	no
def:c3-rationals	Exact rational arithmetic	Rat.mul	no
def:c3-mreal	Cauchy completion of the rationals	Real	no
def:c3-mreal	Cauchy completion of the rationals	Real.ofCauchy	no
def:c3-mreal	Cauchy completion of the rationals	CauSeq.Completion.Cauchy	yes
def:c3-mreal	Representatives and their equivalence	Real.cauchy	no
def:c3-mreal	Representatives and their equivalence	Real.mk	yes
def:c3-mreal	Representatives and their equivalence	Real.mk_eq	no
